haulID,survey,species,code,fishlength,fishnumber,densityabundance,densitybiomass,ship,year,haulno
GNSIntOT3/CIR/1998/2,GNSIntOT3,Ammodytidae,125516,27,1,14.24160681,0.876297237,CIR,1998,2
GNSIntOT3/DAN2/1998/2,GNSIntOT3,Ammodytidae,125516,22,4,54.85313601,1.808636328,DAN2,1998,2
GNSIntOT3/WAH3/1998/2,GNSIntOT3,Ammodytidae,125516,14,2,36.09865163,0.303678661,WAH3,1998,2
GNSIntOT3/WAH3/1998/2,GNSIntOT3,Ammodytidae,125516,18,1,18.04932582,0.323831643,WAH3,1998,2
GNSIntOT3/WAH3/1998/2,GNSIntOT3,Ammodytidae,125516,15,3,54.14797745,0.560468568,WAH3,1998,2
GNSIntOT3/WAH3/1998/2,GNSIntOT3,Ammodytidae,125516,13,1,18.04932582,0.121590998,WAH3,1998,2
GNSIntOT3/WAH3/1998/2,GNSIntOT3,Ammodytidae,125516,23,1,18.04932582,0.68127702,WAH3,1998,2
GNSIntOT3/CIR/1998/3,GNSIntOT3,Ammodytidae,125516,29,1,19.14551706,1.465373464,CIR,1998,3
GNSIntOT3/CIR/1998/4,GNSIntOT3,Ammodytidae,125516,15,1,14.76309034,0.152808073,CIR,1998,4
GNSIntOT3/CIR/1998/4,GNSIntOT3,Ammodytidae,125516,20,1,14.76309034,0.364449808,CIR,1998,4
GNSIntOT3/CIR/1998/4,GNSIntOT3,Ammodytidae,125516,21,1,14.76309034,0.422614533,CIR,1998,4
GNSIntOT3/CIR/1998/5,GNSIntOT3,Ammodytidae,125516,22,4,62.34383115,2.055622086,CIR,1998,5
GNSIntOT3/CIR/1998/5,GNSIntOT3,Ammodytidae,125516,21,1,15.58595779,0.446170288,CIR,1998,5
GNSIntOT3/CIR/1998/5,GNSIntOT3,Ammodytidae,125516,35,1,15.58595779,2.121247517,CIR,1998,5
GNSIntOT3/CIR/1998/5,GNSIntOT3,Ammodytidae,125516,25,3,46.75787336,2.275086949,CIR,1998,5
GNSIntOT3/CIR/1998/5,GNSIntOT3,Ammodytidae,125516,28,1,15.58595779,1.071647571,CIR,1998,5
GNSIntOT3/CIR/1998/8,GNSIntOT3,Ammodytidae,125516,20,1,24.3101863,0.600134696,CIR,1998,8
